Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,3215407.0,3231985.0,3237347.0,3238978.0,3175795.0,3097952.0,2985366.0,2890718.0,2758841.0,2645262.0,2580680.0,2543972.0,2545956.0
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,192029.0,188322.0,182771.0,175898.0,166915.0,161731.0,156434.0,157138.0,158706.0,156696.0,154344.0,153248.0,153322.0
1735401,Nukus shahri,Город Нукус,Nukus city,Нукус шаҳри,31875.0,32507.0,32443.0,30790.0,28929.0,27578.0,26394.0,26630.0,26456.0,25981.0,25191.0,25016.0,24453.0
1735411,Taxiatosh sh.,Тахиаташский город,Taxiatosh city,Тахиатош ш.,5930.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1735204,Amudaryo tumani,Амударьинский район,Amudarya district,Aмударё тумани,18659.0,17907.0,17574.0,17218.0,16635.0,16517.0,16422.0,16269.0,16560.0,16623.0,16813.0,16946.0,17282.0
1735207,Beruniy tumani,Берунийский район,Beruniy  district,Беруний тумани,18767.0,18932.0,18609.0,18811.0,4851.0,17255.0,16320.0,16265.0,15886.0,15508.0,15413.0,15035.0,14775.0
1735209,Bo‘zatov tumani,Бозатауский район,Bozatau district,Бўзатов тумани,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1767.0,1755.0,1733.0,1679.0,1594.0,1617.0
1735211,Qorao‘zak tumani,Караузякский район,Karauzak district,Қораўзак тумани,5744.0,5889.0,5414.0,5114.0,8363.0,4418.0,3952.0,4028.0,4036.0,3946.0,4021.0,4091.0,4199.0
1735212,Kegeyli tumani,Кегейлийский район,Kegeyli district,Кегейли тумани,10330.0,9883.0,9367.0,8724.0,10807.0,8145.0,7734.0,6051.0,5991.0,5539.0,5074.0,5078.0,5446.0
1735215,Qo‘ng‘irot tumani,Кунградский район,Kungrad district,Қўнғирот тумани,12528.0,11484.0,11051.0,10826.0,4633.0,10717.0,10989.0,11309.0,11488.0,11207.0,11122.0,11089.0,11016.0
1735218,Qanliko‘l tumani,Канлыкульский район,Kanlykul district,Қанликўл тумани,5382.0,5200.0,4948.0,4773.0,2765.0,4421.0,4363.0,4568.0,4578.0,4597.0,4469.0,4559.0,4360.0
1735222,Mo‘ynoq tumani,Муйнакский район,Muynak district,Мўйноқ тумани,3530.0,3415.0,3265.0,2950.0,18030.0,2572.0,2587.0,2527.0,2506.0,2532.0,2499.0,2427.0,2648.0
1735225,Nukus tumani,Нукусский район,Nukus district,Нукус тумани,5455.0,5031.0,4728.0,4348.0,4083.0,4057.0,4119.0,4003.0,4034.0,3841.0,3624.0,3488.0,3614.0
1735228,Taxiatosh tumani,Тахиаташский район,Takhiatash district,Тахиатош тумани,5930.0,0.0,0.0,0.0,0.0,6241.0,5875.0,5621.0,5889.0,6002.0,5858.0,5820.0,5814.0
1735230,Taxtako‘pir tumani,Тахтакупырский район,Takhtakupyr district,Тахтакўпир тумани,4470.0,4167.0,3863.0,3677.0,3376.0,3256.0,2996.0,3000.0,3117.0,3200.0,3111.0,3188.0,3210.0
1735233,To‘rtko‘l tumani,Турткульский район,Turtkul district,Тўрткўл тумани,19529.0,19613.0,19678.0,19158.0,18857.0,19414.0,18974.0,18802.0,19540.0,19328.0,18612.0,17670.0,17547.0
