Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2017,2018,2019,2020,2021,2022,2023,2024
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,1251538.0,1542598.3,1946778.3,2227141.2,2662002.8,3204301.4,3799613.5,4404167.8
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,1233355.5,1503568.0,1851523.7,2059642.5,2378721.9,2787221.6,3264159.2,3672209.9
1735401,Nukus shahri,Город Нукус,Nukus city,Нукус шаҳри,1484709.3,1930451.5,2361568.8,2629676.2,3124314.8,3710824.3,4314801.7,5108745.3
1735204,Amudaryo tumani,Амударьинский район,Amudarya district,Aмударё тумани,982227.7,1145801.1,1416366.5,1518255.0,1744213.9,1940758.6,2220400.8,2471896.8
1735207,Beruniy tumani,Берунийский район,Beruniy  district,Беруний тумани,933806.2,1135737.5,1432637.8,1584928.9,1831591.8,2147301.9,2459136.4,2365651.8
1735209,Bo‘zatov tumani,Бозатауский район,Bozatau district,Бўзатов тумани,0.0,0.0,1237448.3,1679303.4,1757366.8,2087338.8,2483654.3,2912175.1
1735211,Qorao‘zak tumani,Караузякский район,Karauzak district,Қораўзак тумани,986975.8,1267760.9,1595544.5,1681107.7,1892902.6,2268039.2,2875220.9,3239858.5
1735212,Kegeyli tumani,Кегейлийский район,Kegeyli district,Кегейли тумани,1063219.8,1279138.3,1563366.3,1784066.6,2030382.8,2459491.3,2882906.0,3012654.6
1735215,Qo‘ng‘irot tumani,Кунградский район,Kungrad district,Қўнғирот тумани,1586964.1,1869488.4,2190326.1,2660785.5,2951138.6,3286161.5,4046698.1,4339606.7
1735218,Qanliko‘l tumani,Канлыкульский район,Kanlykul district,Қанликўл тумани,1261768.7,1483449.7,1781352.0,1744846.7,2043625.4,2517479.3,2885944.9,3619446.9
1735222,Mo‘ynoq tumani,Муйнакский район,Muynak district,Мўйноқ тумани,1313969.4,1656674.8,1815649.5,1643190.1,1961705.6,2401181.2,3463593.9,4021979.5
1735225,Nukus tumani,Нукусский район,Nukus district,Нукус тумани,1070357.6,1246703.5,1538810.8,1963589.3,2144600.4,2726067.9,3306398.5,3807180.0
1735228,Taxiatosh tumani,Тахиаташский район,Takhiatash district,Тахиатош тумани,1097572.3,1439932.5,1726952.3,2145824.1,2501102.3,2975884.4,3571162.8,3795350.1
1735230,Taxtako‘pir tumani,Тахтакупырский район,Takhtakupyr district,Тахтакўпир тумани,1180036.1,1427438.9,1640634.0,1780048.9,2037077.3,2249850.3,2565300.3,3010225.3
1735233,To‘rtko‘l tumani,Турткульский район,Turtkul district,Тўрткўл тумани,1081657.8,1179719.5,1554886.1,1628481.0,1898062.4,2345730.4,2466272.7,2802624.7
1735236,Xo‘jayli tumani,Ходжейлийский район,Khojeyli district,Хўжайли тумани,1193063.8,1435221.4,1698958.2,1853747.1,2085878.2,2434245.3,2897050.5,3250368.7
1735240,Chimboy tumani,Чимбайский район,Chimbay district,Чимбой тумани,1085416.6,1330923.9,1653045.2,1992519.6,2155167.1,2509477.3,2732854.4,3016522.9
1735243,Shumanay tumani,Шуманайский район,Shumanai district,Шуманай тумани,1119647.4,1371639.8,1682423.0,1762217.1,1936359.0,2190026.1,2777529.7,2848166.2
1735250,Ellikkala tumani,Элликкалинский район,Ellikkala district,Елликкала тумани,1028645.5,1117081.5,1535944.9,1720189.8,1964310.9,2208076.6,2552673.0,2819600.1
1703,Andijon viloyati,Андижанская область,Andijan region,Aндижон вилояти,1094735.8,1346138.2,1692686.8,1939862.6,2248201.4,2804453.9,3260316.1,3782162.9
1703401,Andijon shahri,Город Андижан,Andijan city,Aндижон шаҳри,1262877.6,1650629.3,2011852.0,2386729.3,2800648.8,3512403.7,4233735.7,4962136.0
1703408,Xonobod shahri,Город Ханабад,Khanabadcity,Хонобод шаҳри,1336929.4,1684283.3,1958592.5,2222958.4,2365423.4,3086290.8,3605169.9,4087597.2
1703202,Oltinko‘l tumani,Алтынкульский район,Altynkul  district,Олтинкўл тумани,865563.1,1025484.1,1266119.8,1355457.1,1752415.5,2034086.8,2575394.8,2906979.0
1703203,Andijon tumani,Андижанский район,Andijan district,Aндижон тумани,966104.8,1094490.3,1403713.7,1613556.2,1827839.8,2217420.9,2459032.9,2763421.8
1703206,Baliqchi tumani,Балыкчинский район,Balykchi district,Балиқчи тумани,880969.8,1044425.3,1295728.1,1432180.4,1639927.5,2032669.4,2096558.3,2309422.2
1703209,Bo‘ston tumani,Бустонский район,Bustan district,Бўстон тумани,957422.7,1077230.5,1275076.6,1486496.5,1642745.9,2024324.8,2246155.4,2469386.8
1703210,Buloqboshi tumani,Булакбашинский район,Bulakbashi district,Булоқбоши тумани,1011672.6,1089393.2,1369100.8,1541046.8,1866610.0,2033994.0,2295857.0,2762391.5
1703211,Jalaquduq tumani,Жалакудукский район,Jalаquduk district,Жалақудуқ тумани,980160.6,1133126.1,1468868.5,1567335.7,1826966.4,2421863.5,2285714.6,2620884.0
1703214,Izboskan tumani,Избасканский район,Izbaskan district,Избоскан тумани,918211.3,989591.0,1348823.2,1493772.6,1876533.7,2251082.2,2725687.0,3290657.5
1703217,Ulug‘nor tumani,Улугноpский район,Ulugnor district,Улуғнор тумани,960497.6,1081221.4,1352006.2,1500854.6,1747852.7,2059322.1,2515538.3,2384213.1
1703220,Qo‘rg‘ontepa tumani,Кургантепинский район,Kurgantepa district,Қўрғонтепа тумани,989051.8,1122730.2,1454157.0,1658213.5,1976744.9,2496135.3,2759286.0,2927162.6
1703224,Asaka tumani,Асакинский район,Asaka district,Aсака тумани,1642183.1,2338120.6,2889070.5,3536771.8,3683706.9,4722110.7,5653788.7,6768762.5
1703227,Marxamat tumani,Мархаматский район,Markhamat district,Мархамат тумани,770598.9,980835.6,1278789.1,1362156.9,1607113.4,2046698.4,2367162.2,2599137.2
1703230,Shaxrixon tumani,Шахриханский район,Shakhrikhan district,Шахрихон тумани,979772.8,989727.1,1396669.1,1503715.9,1824818.4,2331715.5,2346999.9,2802400.8
1703232,Paxtaobod tumani,Пахтаабадский район,Pakhtaabad district,Пахтаобод тумани,993825.8,1113723.4,1327682.9,1451191.3,1857404.3,2221255.4,2401064.7,2793031.8
